pop	pop_type	num_TP	out	coexist_length	SE	SF	SP	NE	NF	NP	IE	IF	IP	S1	S2	S3	S4	S5	S6	S7	S8	N1	N2	N3	N4	N5	N6	N7	N8	I1	I2	I3	I4	I5	I6	I7	I8
213	wt	8	0	0	62	0	56	143	1	152	60	2	151	62	0	0	9	0	47	0	0	143	1	2	8	0	142	0	0	59	2	0	23	4	125	0	0
214	del_mutL_srlD	9	1	9240	418	7	630	937	15	1324	263	4	344	415	7	102	96	9	426	0	0	934	15	266	180	17	864	0	0	260	4	47	29	2	269	0	0
215	del_araBAD	9	-1	0	107	0	45	164	0	125	129	1	117	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
216	del_mutL	9	1	9240	692	0	1085	1995	1	2448	503	0	484	692	0	7	233	0	845	0	0	1994	1	19	464	0	1966	0	0	504	0	8	78	0	397	0	0
217	del_srlD	8	1	9240	605	0	799	1258	0	1796	335	1	465	601	0	26	148	0	629	0	0	1252	0	29	260	0	1513	0	0	321	1	7	50	0	422	0	0
218	del_mutL_araBAD	8	1	9240	558	0	854	1070	2	1697	292	1	349	556	0	171	17	2	666	0	0	1070	2	347	40	1	1309	0	0	295	1	65	8	1	272	0	0
219	del_mutL_srlD	8	1	9240	680	0	666	1157	2	1003	308	2	280	682	0	162	178	0	324	0	0	1157	2	306	253	1	443	0	0	307	2	64	59	0	158	0	0
220	del_araBAD	8	1	6600	64	0	52	147	1	115	78	2	125	64	0	1	2	0	49	0	0	147	1	8	6	0	101	0	0	78	1	3	1	1	121	0	0
221	del_mutL	9	1	9240	740	3	662	1505	11	1201	317	2	337	744	3	119	167	3	369	0	0	1511	11	202	327	9	657	0	0	316	2	35	60	1	242	0	0
222	del_srlD	8	1	6600	111	0	65	164	0	62	70	1	61	101	0	5	24	0	46	0	0	157	0	5	5	0	59	0	0	64	1	0	8	0	59	0	0
223	del_mutL_araBAD	8	1	7920	575	0	809	1021	2	1524	238	1	346	606	0	153	220	0	405	0	0	1084	2	283	401	3	774	0	0	248	2	57	72	0	206	0	0
224	wt	0	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
301	wt	9	0	0	113	2	43	213	5	66	178	3	61	95	1	1	18	0	43	0	0	199	0	5	14	0	66	0	0	174	2	1	4	0	61	0	0
302	del_mutL_srlD	9	1	9239	637	251	309	1161	468	423	434	91	125	581	6	238	91	0	281	0	0	1058	19	441	139	4	391	0	0	384	5	83	57	1	120	0	0
303	del_araBAD	9	1	16169	104	0	140	175	0	167	190	1	157	104	0	8	17	0	115	0	0	175	0	11	10	0	146	0	0	190	1	1	2	1	153	0	0
304	del_mutL	8	0	0	569	139	584	970	279	958	246	42	214	561	51	356	120	5	199	0	0	953	119	627	223	7	278	0	0	241	26	103	62	1	69	0	0
305	del_srlD	6	0	0	57	1	98	122	5	67	111	4	65	56	1	0	46	0	53	0	0	122	5	7	24	0	36	0	0	110	4	1	21	0	44	0	0
306	del_mutL_araBAD	9	0	0	944	1	907	1838	5	1671	483	3	373	1097	1	0	753	1	0	0	0	2141	3	0	1364	6	0	0	0	569	2	0	285	3	0	0	0
307	del_mutL_srlD	2	-1	0	0	0	252	0	0	472	0	0	97	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
308	del_araBAD	9	1	9240	103	0	47	201	4	52	129	4	56	99	0	2	3	0	46	0	0	196	4	5	5	0	47	0	0	119	4	3	4	0	59	0	0
309	del_mutL	9	1	2311	853	120	334	1647	243	544	507	40	110	714	100	25	25	0	443	0	0	1395	223	33	34	2	747	0	0	461	36	4	9	1	146	0	0
310	del_srlD	7	0	0	76	2	51	106	5	44	101	4	56	75	2	1	22	0	29	0	0	106	4	5	11	4	25	0	0	100	3	3	33	2	20	0	0
311	del_mutL_araBAD	8	1	13860	568	7	1097	1115	21	1845	386	6	409	568	2	208	336	49	509	0	0	1115	8	363	541	77	877	0	0	387	2	73	142	13	184	0	0
312	wt	8	1	6931	101	5	21	108	6	21	112	3	35	101	3	0	0	2	21	0	0	103	5	1	5	0	21	0	0	115	2	1	1	0	31	0	0
313	wt	9	1	16169	75	0	35	136	2	56	114	1	29	75	0	5	3	0	27	0	0	136	2	9	11	1	35	0	0	114	1	3	2	0	24	0	0
314	del_mutL_srlD	8	1	9240	248	108	521	443	197	790	152	45	249	248	106	47	91	1	384	0	0	440	197	76	139	0	578	0	0	150	44	16	29	1	206	0	0
315	del_araBAD	9	1	13860	102	3	27	253	13	24	174	6	35	100	0	3	2	0	27	0	0	239	0	13	13	0	25	0	0	167	1	5	7	0	35	0	0
316	del_mutL	9	1	16169	562	37	884	963	78	1539	224	11	332	562	34	158	355	1	373	0	0	963	77	261	660	2	617	0	0	223	10	46	138	1	149	0	0
317	del_srlD	8	0	0	136	4	127	292	7	151	154	5	150	127	3	1	9	0	127	0	0	274	3	4	18	0	151	0	0	134	3	2	17	0	153	0	0
318	del_mutL_araBAD	9	1	16169	384	21	767	682	46	1348	218	7	333	384	21	125	320	0	322	0	0	683	44	227	507	1	614	0	0	218	7	32	92	0	209	0	0
