pop	pop_type	num_TP	out	coexist_length	mutate_TP	all	fixed_basal
117	del_srlD	8	0	0	1980	85	0
117	del_srlD	8	0	0	2310	224	0
117	del_srlD	8	0	0	2640	0	0
118	del_mutL_araBAD	8	1	1980	297	5	0
118	del_mutL_araBAD	8	1	1980	660	58	0
118	del_mutL_araBAD	8	1	1980	990	121	0
118	del_mutL_araBAD	8	1	1980	1320	215	0
118	del_mutL_araBAD	8	1	1980	1650	162	0
118	del_mutL_araBAD	8	1	1980	1980	142	0
118	del_mutL_araBAD	8	1	1980	2310	183	0
118	del_mutL_araBAD	8	1	1980	2640	0	0
119	del_mutL_srlD	9	0	0	297	36	6
119	del_mutL_srlD	9	0	0	660	245	1
119	del_mutL_srlD	9	0	0	990	97	0
119	del_mutL_srlD	9	0	0	1320	126	0
119	del_mutL_srlD	9	0	0	1650	56	1
119	del_mutL_srlD	9	0	0	1980	288	1
119	del_mutL_srlD	9	0	0	2310	281	0
119	del_mutL_srlD	9	0	0	2640	183	35
119	del_mutL_srlD	9	0	0	2970	0	0
120	del_araBAD	9	1	1650	297	4	2
120	del_araBAD	9	1	1650	660	12	0
120	del_araBAD	9	1	1650	990	7	0
120	del_araBAD	9	1	1650	1320	20	0
120	del_araBAD	9	1	1650	1650	17	0
120	del_araBAD	9	1	1650	1980	33	0
120	del_araBAD	9	1	1650	2310	7	0
120	del_araBAD	9	1	1650	2640	34	0
120	del_araBAD	9	1	1650	2970	0	0
121	del_mutL	8	1	2310	297	1	0
121	del_mutL	8	1	2310	660	118	0
121	del_mutL	8	1	2310	990	77	0
121	del_mutL	8	1	2310	1650	537	1
121	del_mutL	8	1	2310	1980	375	0
121	del_mutL	8	1	2310	2310	101	0
121	del_mutL	8	1	2310	2640	320	0
121	del_mutL	8	1	2310	2970	0	0
122	del_srlD	3	-1	0	297	0	0
122	del_srlD	3	-1	0	1320	0	0
122	del_srlD	3	-1	0	1980	0	0
123	del_mutL_araBAD	9	1	1980	297	9	0
123	del_mutL_araBAD	9	1	1980	660	132	0
123	del_mutL_araBAD	9	1	1980	990	32	0
123	del_mutL_araBAD	9	1	1980	1320	173	0
123	del_mutL_araBAD	9	1	1980	1650	249	0
123	del_mutL_araBAD	9	1	1980	1980	222	2
123	del_mutL_araBAD	9	1	1980	2310	204	0
123	del_mutL_araBAD	9	1	1980	2640	211	4
123	del_mutL_araBAD	9	1	1980	2970	0	0
124	wt	8	-1	0	297	20	0
124	wt	8	-1	0	660	9	2
124	wt	8	-1	0	990	6	0
124	wt	8	-1	0	1650	9	0
124	wt	8	-1	0	1980	2	0
124	wt	8	-1	0	2310	28	1
124	wt	8	-1	0	2640	104	0
124	wt	8	-1	0	2970	0	0
201	wt	9	1	2640	1188	5	3
201	wt	9	1	2640	2640	18	0
201	wt	9	1	2640	3960	2	0
201	wt	9	1	2640	5280	11	0
201	wt	9	1	2640	6600	12	0
201	wt	9	1	2640	7920	9	0
201	wt	9	1	2640	9240	24	0
201	wt	9	1	2640	10560	91	0
201	wt	9	1	2640	11880	0	0
202	del_mutL_srlD	9	1	1452	1188	62	2
202	del_mutL_srlD	9	1	1452	2640	564	0
202	del_mutL_srlD	9	1	1452	3960	73	0
202	del_mutL_srlD	9	1	1452	5280	600	0
202	del_mutL_srlD	9	1	1452	6600	317	0
202	del_mutL_srlD	9	1	1452	7920	741	0
202	del_mutL_srlD	9	1	1452	9240	193	0
202	del_mutL_srlD	9	1	1452	10560	580	62
202	del_mutL_srlD	9	1	1452	11880	0	0
203	del_araBAD	9	0	0	1188	10	9
203	del_araBAD	9	0	0	2640	5	0
203	del_araBAD	9	0	0	3960	0	0
203	del_araBAD	9	0	0	5280	0	0
203	del_araBAD	9	0	0	6600	19	0
203	del_araBAD	9	0	0	7920	63	0
203	del_araBAD	9	0	0	9240	28	0
203	del_araBAD	9	0	0	10560	31	0
203	del_araBAD	9	0	0	11880	0	0
204	del_mutL	9	0	0	1188	0	0
204	del_mutL	9	0	0	2640	314	10
204	del_mutL	9	0	0	3960	80	1
204	del_mutL	9	0	0	5280	108	2
204	del_mutL	9	0	0	6600	795	0
204	del_mutL	9	0	0	7920	1122	1
204	del_mutL	9	0	0	9240	383	0
204	del_mutL	9	0	0	10560	731	0
204	del_mutL	9	0	0	11880	0	0
205	del_srlD	9	0	0	1188	6	2
205	del_srlD	9	0	0	2640	128	0
205	del_srlD	9	0	0	3960	2	0
205	del_srlD	9	0	0	5280	28	0
205	del_srlD	9	0	0	6600	52	0
205	del_srlD	9	0	0	7920	156	0
205	del_srlD	9	0	0	9240	46	0
205	del_srlD	9	0	0	10560	52	0
205	del_srlD	9	0	0	11880	0	0
206	del_mutL_araBAD	9	0	0	1188	12	1
206	del_mutL_araBAD	9	0	0	2640	686	2
206	del_mutL_araBAD	9	0	0	3960	47	0
206	del_mutL_araBAD	9	0	0	5280	237	0
206	del_mutL_araBAD	9	0	0	6600	410	0
206	del_mutL_araBAD	9	0	0	7920	289	1
206	del_mutL_araBAD	9	0	0	9240	268	0
206	del_mutL_araBAD	9	0	0	10560	421	0
206	del_mutL_araBAD	9	0	0	11880	0	0
207	del_mutL_srlD	9	1	7920	1188	16	13
