pop	pop_type	num_TP	out	coexist_length	mut_type	mut_count	total_mut_count	fixed_count	total_fixed_count
114	del_mutL_srlD	8	1	990	noncoding	12	2521	2	479
114	del_mutL_srlD	8	1	990	pseudogene	244	2521	45	479
114	del_mutL_srlD	8	1	990	intergenic	383	2521	53	479
114	del_mutL_srlD	8	1	990	indel	100	2521	34	479
114	del_mutL_srlD	8	1	990	sv	20	2521	1	479
115	del_araBAD	9	0	0	synonymous	268	1319	21	110
115	del_araBAD	9	0	0	nonsynonymous	524	1319	56	110
115	del_araBAD	9	0	0	nonsense	33	1319	3	110
115	del_araBAD	9	0	0	noncoding	23	1319	0	110
115	del_araBAD	9	0	0	pseudogene	95	1319	6	110
115	del_araBAD	9	0	0	intergenic	269	1319	12	110
115	del_araBAD	9	0	0	indel	56	1319	3	110
115	del_araBAD	9	0	0	sv	51	1319	9	110
116	del_mutL	9	1	330	synonymous	972	3640	142	536
116	del_mutL	9	1	330	nonsynonymous	1680	3640	284	536
116	del_mutL	9	1	330	nonsense	77	3640	16	536
116	del_mutL	9	1	330	noncoding	28	3640	1	536
116	del_mutL	9	1	330	pseudogene	271	3640	22	536
116	del_mutL	9	1	330	intergenic	452	3640	67	536
116	del_mutL	9	1	330	indel	109	3640	2	536
116	del_mutL	9	1	330	sv	51	3640	2	536
117	del_srlD	8	0	0	synonymous	234	1005	82	345
117	del_srlD	8	0	0	nonsynonymous	239	1005	94	345
117	del_srlD	8	0	0	nonsense	12	1005	6	345
117	del_srlD	8	0	0	noncoding	24	1005	15	345
117	del_srlD	8	0	0	pseudogene	178	1005	38	345
117	del_srlD	8	0	0	intergenic	207	1005	93	345
117	del_srlD	8	0	0	indel	32	1005	3	345
117	del_srlD	8	0	0	sv	79	1005	14	345
118	del_mutL_araBAD	8	1	1980	synonymous	519	2438	118	536
118	del_mutL_araBAD	8	1	1980	nonsynonymous	1237	2438	322	536
118	del_mutL_araBAD	8	1	1980	nonsense	52	2438	12	536
118	del_mutL_araBAD	8	1	1980	noncoding	18	2438	0	536
118	del_mutL_araBAD	8	1	1980	pseudogene	118	2438	19	536
118	del_mutL_araBAD	8	1	1980	intergenic	394	2438	59	536
118	del_mutL_araBAD	8	1	1980	indel	76	2438	1	536
118	del_mutL_araBAD	8	1	1980	sv	24	2438	5	536
119	del_mutL_srlD	9	0	0	synonymous	594	2915	175	864
119	del_mutL_srlD	9	0	0	nonsynonymous	1359	2915	431	864
119	del_mutL_srlD	9	0	0	nonsense	68	2915	19	864
119	del_mutL_srlD	9	0	0	noncoding	46	2915	1	864
119	del_mutL_srlD	9	0	0	pseudogene	261	2915	74	864
119	del_mutL_srlD	9	0	0	intergenic	463	2915	120	864
119	del_mutL_srlD	9	0	0	indel	107	2915	40	864
119	del_mutL_srlD	9	0	0	sv	17	2915	4	864
120	del_araBAD	9	1	1650	synonymous	148	794	14	60
120	del_araBAD	9	1	1650	nonsynonymous	215	794	15	60
120	del_araBAD	9	1	1650	nonsense	9	794	2	60
120	del_araBAD	9	1	1650	noncoding	29	794	0	60
120	del_araBAD	9	1	1650	pseudogene	69	794	1	60
120	del_araBAD	9	1	1650	intergenic	219	794	9	60
120	del_araBAD	9	1	1650	indel	45	794	3	60
120	del_araBAD	9	1	1650	sv	60	794	16	60
121	del_mutL	8	1	2310	synonymous	773	3221	27	127
121	del_mutL	8	1	2310	nonsynonymous	1654	3221	71	127
121	del_mutL	8	1	2310	nonsense	69	3221	5	127
121	del_mutL	8	1	2310	noncoding	19	3221	0	127
121	del_mutL	8	1	2310	pseudogene	154	3221	5	127
121	del_mutL	8	1	2310	intergenic	415	3221	13	127
121	del_mutL	8	1	2310	indel	104	3221	2	127
121	del_mutL	8	1	2310	sv	33	3221	4	127
122	del_srlD	3	-1	0	synonymous	243	1031	0	0
122	del_srlD	3	-1	0	nonsynonymous	461	1031	0	0
122	del_srlD	3	-1	0	nonsense	14	1031	0	0
122	del_srlD	3	-1	0	noncoding	4	1031	0	0
122	del_srlD	3	-1	0	pseudogene	142	1031	0	0
122	del_srlD	3	-1	0	intergenic	135	1031	0	0
122	del_srlD	3	-1	0	indel	16	1031	0	0
122	del_srlD	3	-1	0	sv	16	1031	0	0
123	del_mutL_araBAD	9	1	1980	synonymous	711	3296	131	786
123	del_mutL_araBAD	9	1	1980	nonsynonymous	1777	3296	504	786
123	del_mutL_araBAD	9	1	1980	nonsense	74	3296	17	786
123	del_mutL_araBAD	9	1	1980	noncoding	37	3296	1	786
