pop	pop_type	num_TP	out	TP	SE	SF	SP	NE	NF	NP	IE	IF	IP	S1	S2	S3	S4	S5	S6	S7	S8	N1	N2	N3	N4	N5	N6	N7	N8	I1	I2	I3	I4	I5	I6	I7	I8
104	del_mutL	9	1	2640	178	2	239	570	4	615	159	0	189	170	1	68	67	1	32	81	0	555	2	142	153	1	52	284	1	159	0	40	30	0	18	101	0
104	del_mutL	9	1	2970	235	2	214	772	7	523	243	5	123	232	2	71	86	0	60	0	0	768	4	151	229	0	150	0	0	245	0	41	45	1	39	0	0
105	del_srlD	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105	del_srlD	8	0	297	0	0	22	0	0	10	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0
105	del_srlD	8	0	660	4	0	21	5	0	12	6	0	40	0	0	0	0	0	0	23	0	4	0	0	0	3	0	9	0	1	0	0	0	2	0	51	0
105	del_srlD	8	0	990	4	0	21	7	0	16	25	0	26	0	0	0	2	0	0	25	0	6	0	0	0	3	0	13	0	20	0	0	0	2	0	37	0
105	del_srlD	8	0	1650	4	0	30	12	0	23	37	0	16	0	0	0	7	0	0	27	0	11	0	0	0	6	0	17	0	32	0	0	0	3	0	27	0
105	del_srlD	8	0	1980	4	0	71	17	0	51	39	0	39	0	0	0	12	0	0	59	0	16	0	0	2	6	0	44	0	34	1	0	1	2	0	49	0
105	del_srlD	8	0	2310	12	0	104	33	0	114	52	0	49	8	0	0	23	0	0	85	0	32	0	0	9	7	0	99	0	47	1	0	1	2	0	65	0
105	del_srlD	8	0	2640	45	0	86	110	0	70	75	0	76	45	0	0	37	0	6	43	0	110	0	0	11	6	4	50	0	75	1	0	1	2	9	63	0
105	del_srlD	8	0	2970	53	0	91	137	0	67	99	1	62	55	0	0	70	0	19	0	0	138	0	1	33	6	26	0	0	99	1	3	40	2	17	0	0
106	del_mutL_araBAD	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106	del_mutL_araBAD	9	1	297	0	0	29	0	0	89	0	0	25	0	0	0	0	5	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	2	0	0	0
106	del_mutL_araBAD	9	1	660	21	0	47	67	0	75	20	0	43	2	0	0	0	3	30	14	0	11	0	0	0	9	41	23	0	1	0	0	0	1	36	8	0
106	del_mutL_araBAD	9	1	990	33	0	63	78	0	122	40	0	55	14	0	6	2	3	28	27	0	21	0	11	5	10	45	57	0	20	0	5	0	1	25	26	0
106	del_mutL_araBAD	9	1	1320	53	0	108	138	0	160	66	0	62	35	0	17	2	3	53	38	0	83	0	20	6	12	76	51	0	47	0	7	0	1	37	18	0
106	del_mutL_araBAD	9	1	1650	93	0	147	185	0	269	89	0	113	75	0	25	12	3	21	88	0	131	0	32	25	11	59	145	0	71	0	9	7	1	15	83	0
106	del_mutL_araBAD	9	1	1980	144	0	172	274	0	337	160	0	79	126	0	27	20	3	78	47	0	217	0	35	40	11	170	85	1	142	0	9	10	1	36	26	0
106	del_mutL_araBAD	9	1	2310	192	0	135	387	2	248	182	0	61	169	0	31	20	3	45	68	0	325	2	54	42	9	77	152	1	164	0	10	11	1	21	44	0
106	del_mutL_araBAD	9	1	2640	202	3	242	406	13	430	185	1	134	198	3	36	33	0	86	92	0	400	12	67	77	1	120	173	0	185	1	13	18	0	26	78	0
106	del_mutL_araBAD	9	1	2970	284	3	224	557	13	400	261	1	87	284	3	41	39	0	144	0	0	557	12	83	93	1	224	0	0	261	1	15	21	0	51	0	0
107	del_mutL_srlD	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107	del_mutL_srlD	9	1	297	0	0	25	0	0	17	0	0	9	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0
107	del_mutL_srlD	9	1	660	18	0	61	11	0	118	4	0	83	1	0	0	0	0	32	30	0	3	0	0	0	0	70	57	0	2	0	0	0	0	16	68	0
107	del_mutL_srlD	9	1	990	35	0	100	38	0	204	68	0	42	18	0	3	0	0	56	45	0	27	0	12	0	0	102	106	0	51	0	1	0	0	16	42	0
107	del_mutL_srlD	9	1	1320	59	0	130	94	0	306	78	0	58	41	0	4	0	0	81	54	0	78	0	14	0	0	205	107	0	61	0	2	0	0	28	44	0
107	del_mutL_srlD	9	1	1650	102	0	153	206	0	329	98	0	102	91	0	4	0	0	107	45	0	195	0	22	0	0	233	88	0	81	0	2	0	0	45	70	0
107	del_mutL_srlD	9	1	1980	146	0	257	290	0	538	151	0	132	136	0	4	0	0	135	123	0	277	0	23	0	0	285	247	0	131	0	2	0	0	62	89	0
107	del_mutL_srlD	9	1	2310	254	0	163	551	0	306	232	0	55	237	0	25	0	0	88	68	0	528	0	108	0	0	149	81	0	209	0	17	0	0	27	39	0
107	del_mutL_srlD	9	1	2640	265	0	219	578	2	478	235	0	129	254	0	46	0	0	87	98	0	557	0	185	0	1	125	194	0	214	0	28	0	0	35	88	0
107	del_mutL_srlD	9	1	2970	351	9	188	761	35	371	314	13	69	346	0	59	31	1	111	0	0	758	0	228	48	2	131	0	0	315	0	31	8	4	38	0	0
108	del_araBAD	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	del_araBAD	8	1	297	0	0	27	0	0	47	0	0	17	0	0	0	0	27	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	15	0	0	0
108	del_araBAD	8	1	660	27	0	40	43	0	14	10	0	69	27	0	0	0	40	0	0	0	43	0	0	0	11	0	0	0	13	0	0	0	62	0	0	0
108	del_araBAD	8	1	990	67	0	1	52	0	10	69	0	11	67	0	0	0	0	0	0	0	52	0	0	0	2	0	0	0	70	0	0	0	2	0	0	0
108	del_araBAD	8	1	1320	67	0	22	56	0	59	70	0	21	67	0	0	0	0	23	0	0	52	0	0	0	2	58	0	0	67	0	0	0	2	16	0	0
108	del_araBAD	8	1	1980	83	0	14	97	0	39	77	0	33	83	0	1	0	0	16	0	0	94	0	1	0	1	37	0	0	76	0	0	0	0	31	0	0
108	del_araBAD	8	1	2310	89	0	14	115	0	34	93	0	22	89	0	1	0	0	16	0	0	111	0	1	0	1	32	0	0	90	0	1	0	0	19	0	0
108	del_araBAD	8	1	2640	90	0	35	127	0	54	94	0	80	90	0	1	0	0	34	0	0	123	0	2	0	1	52	0	0	91	0	1	0	0	79	0	0
108	del_araBAD	8	1	2970	90	0	87	127	0	280	94	0	226	90	0	1	0	0	86	0	0	123	0	3	0	1	280	0	0	91	0	2	0	1	226	0	0
109	del_mutL	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109	del_mutL	9	1	297	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
109	del_mutL	9	1	660	0	0	25	1	0	59	0	0	16	0	0	0	0	0	15	10	0	1	0	0	0	0	26	34	0	0	0	0	0	1	2	13	0
109	del_mutL	9	1	990	13	0	58	26	0	113	9	0	33	13	0	5	0	0	15	41	0	26	0	5	2	0	47	63	0	9	0	1	0	1	8	23	0
109	del_mutL	9	1	1320	45	0	51	77	0	115	25	0	37	45	0	9	4	0	11	29	0	77	0	9	7	0	53	48	0	24	0	2	1	1	13	21	0
109	del_mutL	9	1	1650	52	0	125	86	0	359	31	0	92	52	0	9	11	0	34	78	0	86	0	13	24	0	179	152	0	28	0	2	6	1	33	53	0
109	del_mutL	9	1	1980	89	0	269	201	0	721	78	0	130	89	0	9	37	0	53	179	0	200	0	13	57	0	234	451	0	75	0	2	12	1	35	95	0
109	del_mutL	9	1	2310	220	0	147	608	0	352	143	0	71	220	0	16	73	0	39	51	0	607	0	60	134	0	154	125	0	140	0	7	28	1	32	44	0
109	del_mutL	9	1	2640	223	0	258	627	1	721	144	0	231	223	0	49	91	0	72	47	0	626	0	177	212	1	216	119	0	141	0	33	47	2	114	39	0
109	del_mutL	9	1	2970	223	0	310	628	2	855	144	4	255	242	0	57	119	0	115	0	0	636	1	204	321	0	323	0	0	151	1	41	76	1	133	0	0
110	del_srlD	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110	del_srlD	9	0	297	0	0	11	0	0	5	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
110	del_srlD	9	0	660	0	0	25	2	0	14	0	0	25	0	0	0	0	3	16	6	0	1	0	0	0	0	7	7	0	0	0	0	0	0	5	20	0
110	del_srlD	9	0	990	6	0	23	9	0	13	14	0	17	6	0	5	0	3	11	4	0	8	0	3	0	0	4	6	0	14	0	0	0	0	6	12	0
110	del_srlD	9	0	1320	10	0	26	15	0	18	19	0	18	10	0	5	0	3	12	6	0	14	0	3	0	0	6	10	0	19	0	0	0	0	6	13	0
110	del_srlD	9	0	1650	16	0	47	24	0	42	29	0	50	19	0	6	0	0	23	15	0	23	0	4	1	0	10	28	0	26	0	0	0	0	20	33	0
110	del_srlD	9	0	1980	31	0	79	53	0	49	71	0	59	31	0	6	0	0	48	22	0	52	0	6	2	0	17	27	0	68	0	0	0	0	13	49	0
110	del_srlD	9	0	2310	44	0	68	70	0	46	101	0	36	44	0	6	9	0	51	3	0	69	0	6	7	0	19	18	0	98	0	0	0	0	13	27	0
110	del_srlD	9	0	2640	46	0	116	83	0	97	102	0	134	46	0	18	10	0	55	33	0	82	0	7	11	0	27	53	0	102	0	2	2	0	24	109	0
110	del_srlD	9	0	2970	78	4	94	138	0	93	201	0	58	78	0	22	17	0	59	0	0	138	0	7	14	0	72	0	0	201	0	2	23	0	33	0	0
111	del_mutL_araBAD	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111	del_mutL_araBAD	9	1	297	0	0	31	0	0	46	0	0	20	0	0	0	0	10	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	7	0	0	0
111	del_mutL_araBAD	9	1	660	26	0	47	29	0	91	15	0	37	10	0	0	0	0	24	25	0	9	0	0	0	4	46	45	0	5	0	0	0	2	18	19	0
111	del_mutL_araBAD	9	1	990	50	0	58	76	0	84	32	0	40	34	0	6	2	0	57	21	0	61	0	8	1	0	85	29	0	23	0	2	1	1	38	12	0
111	del_mutL_araBAD	9	1	1320	68	0	56	99	0	100	40	0	43	67	0	7	5	0	55	2	0	99	0	9	8	0	102	2	0	41	0	3	1	0	41	2	0
111	del_mutL_araBAD	9	1	1650	70	0	207	109	0	449	45	0	123	69	0	8	5	0	145	54	0	109	0	11	8	0	335	103	0	44	0	5	1	0	69	49	0
111	del_mutL_araBAD	9	1	1980	99	0	293	156	0	663	83	0	140	99	0	34	5	0	193	63	0	156	0	99	8	2	386	174	0	81	0	17	1	1	91	36	0
111	del_mutL_araBAD	9	1	2310	133	0	497	258	0	1100	103	0	227	133	0	52	5	0	405	34	0	259	0	152	9	1	853	86	0	101	0	28	1	1	177	26	0
111	del_mutL_araBAD	9	1	2640	257	1	533	568	0	1192	182	0	252	257	0	61	5	2	439	27	0	567	0	176	12	1	946	59	0	181	0	34	1	1	209	10	0
111	del_mutL_araBAD	9	1	2970	435	1	423	978	2	914	293	0	184	434	0	90	6	1	328	0	0	977	0	238	17	3	659	0	0	294	0	47	1	1	134	0	0
112	wt	7	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	wt	7	-1	297	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	wt	7	-1	660	7	0	1	1	0	5	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	wt	7	-1	990	8	0	2	5	0	6	6	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	wt	7	-1	1320	10	0	3	9	0	6	7	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	wt	7	-1	2310	13	0	11	13	0	21	12	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	wt	7	-1	2640	16	0	36	18	0	58	12	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	wt	7	-1	2970	33	0	47	54	0	84	79	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113	wt	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113	wt	8	1	660	0	0	16	0	0	48	0	0	28	0	0	0	0	8	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	6	0	0	0
113	wt	8	1	990	2	0	34	5	0	94	11	0	39	3	0	0	0	5	15	11	0	5	0	0	0	14	35	44	0	1	0	0	0	5	6	24	0
113	wt	8	1	1320	11	0	43	34	0	121	29	0	36	7	0	2	0	5	19	16	0	28	0	2	3	13	42	63	0	19	0	0	1	4	9	20	0
113	wt	8	1	1650	19	0	109	60	0	247	40	0	83	14	0	2	0	5	82	25	0	53	0	4	3	13	158	79	0	29	0	0	1	4	38	40	0
113	wt	8	1	1980	75	0	101	161	0	220	92	0	36	72	3	3	0	0	73	27	0	155	11	6	3	0	137	75	0	80	4	1	1	0	23	15	0
113	wt	8	1	2310	102	0	125	205	0	279	96	0	59	101	3	7	0	0	90	28	0	204	11	16	4	0	172	86	0	92	4	2	1	0	34	23	0
113	wt	8	1	2640	124	0	217	272	0	449	108	0	155	124	3	8	5	0	158	43	0	272	11	19	24	0	294	101	0	107	4	3	6	0	66	77	0
113	wt	8	1	2970	188	0	185	387	1	440	202	0	74	188	3	10	9	0	163	0	0	387	11	24	44	0	362	0	0	202	4	4	7	0	59	0	0
114	del_mutL_srlD	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
114	del_mutL_srlD	8	1	297	0	0	72	0	0	105	0	0	19	0	0	0	0	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	4	0	0	0
114	del_mutL_srlD	8	1	660	32	0	98	59	0	153	13	0	52	1	0	0	0	1	47	47	0	5	0	0	0	1	69	81	0	3	0	0	0	1	11	39	0
114	del_mutL_srlD	8	1	990	73	0	94	125	0	150	44	0	42	42	0	9	3	1	62	15	0	71	0	23	8	1	85	35	0	34	0	2	2	1	13	25	0
114	del_mutL_srlD	8	1	1320	80	0	123	142	0	185	59	0	41	48	0	9	5	1	76	29	0	89	0	24	10	0	102	50	0	47	0	2	3	1	14	23	0
114	del_mutL_srlD	8	1	1650	102	0	176	177	0	256	73	0	62	72	0	9	7	1	110	53	0	122	0	25	14	0	136	85	0	61	0	2	4	0	27	34	0
114	del_mutL_srlD	8	1	1980	138	0	270	243	0	394	95	0	98	109	0	13	15	1	133	120	0	187	0	34	19	0	182	169	0	84	0	2	5	0	43	55	0
114	del_mutL_srlD	8	1	2310	226	0	273	380	0	473	126	0	132	189	0	49	31	3	125	108	0	317	0	88	41	1	193	227	0	119	0	10	24	1	59	48	0
114	del_mutL_srlD	8	1	2640	290	2	330	537	0	553	180	0	203	274	2	52	72	1	221	0	0	525	0	101	105	0	359	0	0	167	0	17	36	0	163	0	0
115	del_araBAD	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115	del_araBAD	9	0	297	0	0	12	0	0	5	0	0	69	0	0	0	0	12	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	65	0	0	0
115	del_araBAD	9	0	660	11	0	5	1	0	11	54	0	24	11	0	0	0	5	0	0	0	1	0	0	0	9	0	0	0	56	0	0	0	16	0	0	0
115	del_araBAD	9	0	990	16	0	19	7	0	59	66	0	27	16	0	0	0	18	0	0	0	6	0	0	0	52	0	0	0	68	0	0	0	12	0	0	0
115	del_araBAD	9	0	1320	35	0	12	60	0	13	79	0	22	34	0	0	0	0	12	0	0	54	0	0	0	4	9	0	0	78	0	0	0	1	15	0	0
115	del_araBAD	9	0	1650	46	0	18	66	0	40	93	0	27	45	0	0	0	0	18	0	0	60	0	1	0	4	36	0	0	89	0	0	0	1	24	0	0
115	del_araBAD	9	0	1980	62	0	49	96	0	82	108	0	33	61	0	1	0	0	50	0	0	91	0	1	0	3	78	0	0	105	0	1	0	1	31	0	0
115	del_araBAD	9	0	2310	81	0	63	117	0	147	120	0	47	80	0	1	0	0	32	33	0	111	0	1	0	3	62	87	0	117	0	1	0	1	24	25	0
115	del_araBAD	9	0	2640	110	0	102	187	1	250	144	0	103	110	0	5	2	0	70	27	0	185	1	9	9	2	143	89	0	144	0	4	2	1	47	49	0
115	del_araBAD	9	0	2970	130	0	138	254	1	269	193	0	76	130	0	7	14	0	117	0	0	253	1	17	38	2	213	0	0	193	0	5	7	1	63	0	0
116	del_mutL	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116	del_mutL	9	1	297	0	0	52	0	0	112	0	0	26	0	0	0	0	28	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	12	0	0	0
116	del_mutL	9	1	660	19	0	99	39	0	220	9	0	56	12	0	0	0	16	31	58	0	24	0	0	0	34	52	139	0	5	0	0	0	7	17	30	0
116	del_mutL	9	1	990	41	0	115	89	0	243	24	0	69	37	0	0	21	13	41	47	0	78	0	1	55	31	51	112	0	19	0	0	12	7	21	28	0
116	del_mutL	9	1	1320	73	0	101	133	0	221	44	0	56	74	0	0	27	21	20	47	0	129	0	1	60	33	36	113	0	41	0	0	13	13	10	24	0
116	del_mutL	9	1	1650	85	0	258	142	0	507	49	0	121	87	0	0	39	9	67	136	0	144	0	1	79	24	118	271	0	54	0	0	14	4	29	66	0
116	del_mutL	9	1	1980	141	0	408	248	0	749	79	0	161	143	0	0	41	16	222	129	0	249	0	1	82	33	381	254	0	83	0	0	14	5	86	53	0
116	del_mutL	9	1	2310	289	0	351	511	0	648	126	0	146	288	0	0	61	16	135	150	0	507	0	1	128	33	206	310	0	125	0	0	21	5	56	76	0
116	del_mutL	9	1	2640	309	0	573	555	0	1037	137	0	279	305	0	0	138	16	322	97	0	551	0	1	279	37	531	193	0	134	0	0	66	5	174	36	0
116	del_mutL	9	1	2970	879	0	93	1589	0	91	408	0	44	736	0	0	142	2	92	0	0	1306	0	1	283	5	85	0	0	343	0	0	67	0	42	0	0
117	del_srlD	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117	del_srlD	8	0	297	0	0	19	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
117	del_srlD	8	0	660	0	0	20	0	0	7	1	0	17	0	0	0	0	0	17	0	0	1	0	0	0	0	6	0	0	0	0	0	0	1	16	0	0
117	del_srlD	8	0	990	1	0	103	1	0	28	14	0	19	1	0	0	0	0	103	0	0	1	0	0	0	0	28	0	0	13	0	0	0	1	18	0	0
117	del_srlD	8	0	1320	85	0	26	22	0	23	28	0	9	85	0	0	0	0	26	26	0	22	0	0	0	1	24	14	0	27	0	0	0	1	8	16	0
117	del_srlD	8	0	1650	91	0	34	36	0	15	32	0	6	91	0	0	26	0	34	0	0	36	0	0	14	1	16	0	0	32	0	0	15	1	6	0	0
117	del_srlD	8	0	1980	91	0	99	36	0	64	33	0	46	91	0	0	26	0	49	27	0	36	0	0	14	1	26	24	0	33	0	0	15	1	18	13	0
117	del_srlD	8	0	2310	96	0	101	55	0	65	48	0	33	96	0	11	49	7	37	22	0	55	0	2	21	21	22	71	0	48	0	0	15	3	16	78	0
117	del_srlD	8	0	2640	103	0	131	75	0	164	50	0	157	103	0	11	71	0	49	0	0	75	0	2	92	1	69	0	0	50	0	0	93	1	63	0	0
118	del_mutL_araBAD	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
118	del_mutL_araBAD	8	1	297	0	0	15	0	0	48	0	0	13	0	0	0	0	4	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	3	0	0	0
118	del_mutL_araBAD	8	1	660	9	0	19	24	0	54	7	0	23	4	0	0	0	0	3	16	0	10	0	0	0	4	15	36	0	3	0	0	0	1	10	14	0
118	del_mutL_araBAD	8	1	990	18	0	74	48	0	83	17	0	19	13	0	0	6	0	75	18	0	34	0	2	14	4	105	26	0	12	0	0	3	1	18	8	0
118	del_mutL_araBAD	8	1	1320	75	0	103	84	0	248	23	0	50	75	0	22	14	0	63	6	0	84	0	61	28	4	142	15	0	22	0	5	3	1	36	8	0
118	del_mutL_araBAD	8	1	1650	95	0	140	113	0	399	30	0	122	95	0	45	17	0	74	6	0	113	0	111	40	4	241	12	0	29	0	14	6	1	94	9	0
