"pop" "pop_type" "day" "num_fixed_basal" "num_fixed_major_minor" "ratio"
"678" 120 "del_araBAD" 800 0 12 0
"722" 120 "del_araBAD" 900 0 25 0
"471" 121 "del_mutL" 300 0 23 0
"555" 121 "del_mutL" 500 0 32 0
"236" 121 "del_mutL" 600 1 43 0.0227272727272727
"649" 121 "del_mutL" 700 0 1 0
"687" 121 "del_mutL" 800 0 12 0
"729" 121 "del_mutL" 900 0 15 0
"481" 123 "del_mutL_araBAD" 300 0 31 0
"519" 123 "del_mutL_araBAD" 400 0 6 0
"560" 123 "del_mutL_araBAD" 500 0 103 0
"607" 123 "del_mutL_araBAD" 600 0 114 0
"291" 123 "del_mutL_araBAD" 700 1 240 0.004149377593361
"692" 123 "del_mutL_araBAD" 800 0 107 0
"405" 123 "del_mutL_araBAD" 900 5 179 0.0271739130434783
"112" 124 "wt" 300 1 0 1
"315" 124 "wt" 700 1 0 1
"380" 124 "wt" 800 1 0 1
"54" 201 "wt" 200 3 0 1
"501" 201 "wt" 300 0 1 0
"631" 201 "wt" 600 0 3 0
"672" 201 "wt" 700 0 13 0
"714" 201 "wt" 800 0 15 0
"746" 201 "wt" 900 0 31 0
"491" 202 "del_mutL_srlD" 300 0 58 0
"528" 202 "del_mutL_srlD" 400 0 51 0
"569" 202 "del_mutL_srlD" 500 0 115 0
"619" 202 "del_mutL_srlD" 600 0 28 0
"306" 202 "del_mutL_srlD" 700 1 114 0.00869565217391304
"699" 202 "del_mutL_srlD" 800 0 503 0
"418" 202 "del_mutL_srlD" 900 63 655 0.0877437325905292
"4" 203 "del_araBAD" 200 6 0 1
"191" 203 "del_araBAD" 500 1 0 1
"588" 203 "del_araBAD" 600 0 3 0
"640" 203 "del_araBAD" 700 0 26 0
"679" 203 "del_araBAD" 800 0 8 0
"390" 203 "del_araBAD" 900 2 18 0.1
"90" 204 "del_mutL" 300 7 21 0.25
"511" 204 "del_mutL" 400 0 38 0
"195" 204 "del_mutL" 500 6 36 0.142857142857143
"598" 204 "del_mutL" 600 0 708 0
"281" 204 "del_mutL" 700 1 212 0.00469483568075117
"688" 204 "del_mutL" 800 0 122 0
"730" 204 "del_mutL" 900 0 63 0
"45" 205 "del_srlD" 200 2 0 1
"497" 205 "del_srlD" 300 0 10 0
"576" 205 "del_srlD" 500 0 28 0
"625" 205 "del_srlD" 600 0 55 0
"664" 205 "del_srlD" 700 0 18 0
"706" 205 "del_srlD" 800 0 46 0
"742" 205 "del_srlD" 900 0 53 0
"24" 206 "del_mutL_araBAD" 200 1 0 1
"96" 206 "del_mutL_araBAD" 300 2 146 0.0135135135135135
"520" 206 "del_mutL_araBAD" 400 0 17 0
"561" 206 "del_mutL_araBAD" 500 0 20 0
"608" 206 "del_mutL_araBAD" 600 0 108 0
"292" 206 "del_mutL_araBAD" 700 1 152 0.0065359477124183
"693" 206 "del_mutL_araBAD" 800 0 202 0
"736" 206 "del_mutL_araBAD" 900 0 111 0
"37" 207 "del_mutL_srlD" 200 11 0 1
"492" 207 "del_mutL_srlD" 300 0 33 0
"155" 207 "del_mutL_srlD" 400 1 93 0.0106382978723404
"570" 207 "del_mutL_srlD" 500 0 144 0
"620" 207 "del_mutL_srlD" 600 0 49 0
"656" 207 "del_mutL_srlD" 700 0 105 0
"361" 207 "del_mutL_srlD" 800 3 306 0.00970873786407767
"419" 207 "del_mutL_srlD" 900 48 434 0.0995850622406639
"14" 209 "del_mutL" 200 1 0 1
"91" 209 "del_mutL" 300 2 32 0.0588235294117647
"144" 209 "del_mutL" 400 2 9 0.181818181818182
"196" 209 "del_mutL" 500 4 18 0.181818181818182
"237" 209 "del_mutL" 600 3 17 0.15
"282" 209 "del_mutL" 700 3 80 0.036144578313253
"332" 209 "del_mutL" 800 9 215 0.0401785714285714
"397" 209 "del_mutL" 900 1 30 0.032258064516129
"46" 210 "del_srlD" 200 1 0 1
"108" 210 "del_srlD" 300 10 45 0.181818181818182
"160" 210 "del_srlD" 400 1 1 0.5
"221" 210 "del_srlD" 500 8 6 0.571428571428571
"626" 210 "del_srlD" 600 0 16 0
